"STARTLINER",MASTER,1100
"Perfect Shining!!",MASTER,1150
"君の知らない物語",MASTER,1040
"シュガーソングとビターステップ",MASTER,1170
"檄!帝国華撃団",MASTER,1130
"回レ！雪月花",MASTER,1220
"ＧＯ！ＧＯ！ラブリズム♥",MASTER,1240
"みんな Happy!!",MASTER,1140
"ようこそジャパリパークへ",MASTER,1200
"ファッとして桃源郷",MASTER,1250
"かくしん的☆めたまるふぉ～ぜっ!",MASTER,1250
"脳漿炸裂ガール",MASTER,1310
"Oshama Scramble!",MASTER,1380
"Zest of Blue",MASTER,1190
"This game",MASTER,1170
"Los! Los! Los!",MASTER,1220
"SAVIOR OF SONG",MASTER,1220
"心象蜃気楼",MASTER,1220
"The Formula",MASTER,1270
"Here We Go",MASTER,1260
"Mare Maris",MASTER,1230
"Hyper Active",MASTER,1270
"Brain Power",MASTER,1360
"Halcyon",MASTER,1370
"Dolphika",MASTER,1340
"P！P！P！P！がおー!!",MASTER,1290
"天ノ弱",MASTER,1210
"おこちゃま戦争",MASTER,1240
"六兆年と一夜物語",MASTER,1270
"タテマエと本心の大乱闘",MASTER,1230
"千本桜",MASTER,1160
"オモイヨシノ",MASTER,1190
"天火明命",MASTER,1280
"Cyberozar",MASTER,1320
"AMAZING MIGHTYYYY!!!!",MASTER,1390
"Ai Nov",MASTER,1390
"キミノヨゾラ哨戒班",MASTER,1200
"Gate of Doom",MASTER,1350
"ロッキンピンクモンスター",MASTER,1280
"木彫り鯰と右肩ゾンビ",MASTER,1250
"鬼KYOKAN",MASTER,1300
"ブツメツビーターズ",MASTER,1300
"ときめきエクスペリエンス！",MASTER,1060
"That Is How I Roll!",MASTER,1100
"しゅわりん☆どり〜みん",MASTER,1070
"BLACK SHOUT",MASTER,1100
"えがおのオーケストラっ！",MASTER,1060
"鳥の詩",MASTER,1100
"Red “reduction division” -crossroads version-",MASTER,1180
"First Twinkle",MASTER,1140
"SWEET SHAKE!!",MASTER,1240
"What color...",MASTER,1260
